Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,House Age,Remodel Age,Price per SqFt,Risk Level
12,527165230,20,4,64.0,7980,1,2,0,3,0,4,0,8,2,2,0,2,6,7,1992,2007,1,0,6,6,3,0.0,3,2,2,2,4,3,0,935.0,5,0.0,233.0,1168.0,1,0,1,4,1187,0,0,1187,1.0,0.0,2,0,3,1,4,6,7,0,5,1,1992.0,0,2.0,420.0,4,4,2,483,21,0,0,0,0,3,0,2,500,3,2010,9,4,185000,18,3,155.85509688289807,Medium Risk
13,527166040,60,4,63.0,8402,1,2,0,3,0,4,0,8,2,2,0,5,6,5,1998,1998,1,0,12,13,3,0.0,3,4,2,2,4,3,5,0.0,5,0.0,789.0,789.0,1,2,1,4,789,676,0,1465,0.0,0.0,2,1,3,1,4,7,7,1,2,1,1998.0,0,2.0,393.0,4,4,2,0,75,0,0,0,0,3,4,3,0,5,2010,9,4,180400,12,12,123.13993174061432,Low Risk
14,527180040,20,4,85.0,10176,1,2,3,3,0,4,0,8,2,2,0,2,7,5,1990,1990,1,0,6,6,3,0.0,3,4,2,2,4,1,2,637.0,5,0.0,663.0,1300.0,1,2,1,4,1341,0,0,1341,1.0,0.0,1,1,2,1,2,5,7,1,3,1,1990.0,2,2.0,506.0,4,4,2,192,0,0,0,0,0,3,4,3,0,2,2010,9,4,171500,20,20,127.889634601044,Low Risk
15,527182190,120,4,60.0,6820,1,2,0,3,0,0,0,25,2,2,4,2,8,5,1985,1985,1,0,6,6,3,0.0,2,4,2,2,4,0,2,368.0,1,1120.0,0.0,1488.0,1,4,1,4,1502,0,0,1502,1.0,0.0,1,1,1,1,2,4,7,0,5,1,1985.0,1,2.0,528.0,4,4,2,0,54,0,0,140,0,3,4,3,0,6,2010,9,4,212000,25,25,141.1451398135819,Low Risk
17,527225035,50,4,152.0,12134,1,2,0,0,0,4,1,8,2,2,0,0,8,7,1988,2005,1,0,13,14,3,0.0,2,4,5,2,4,0,2,427.0,5,0.0,132.0,559.0,1,2,1,4,1080,672,0,1752,0.0,0.0,2,0,4,1,4,8,7,0,5,2,1988.0,1,2.0,492.0,4,4,2,325,12,0,0,0,0,3,4,3,0,6,2010,9,4,164000,22,5,93.60730593607306,Low Risk
20,527302110,20,4,85.0,13175,1,2,3,3,0,4,0,17,2,2,0,2,6,6,1978,1988,1,0,9,10,2,119.0,3,4,1,2,4,3,0,790.0,4,163.0,589.0,1542.0,1,4,1,4,2073,0,0,2073,1.0,0.0,2,0,3,1,4,7,2,2,4,1,1978.0,2,2.0,500.0,4,4,2,349,0,0,0,0,0,3,2,3,0,2,2010,9,4,210000,32,22,101.30246020260492,Low Risk
21,527358140,20,4,105.0,11751,1,2,0,3,0,4,0,17,2,2,0,2,6,6,1977,1977,3,0,9,10,1,480.0,3,4,1,2,4,3,1,705.0,5,0.0,1139.0,1844.0,1,0,1,4,1844,0,0,1844,0.0,0.0,2,0,3,1,4,7,7,1,4,1,1977.0,1,2.0,546.0,4,4,2,0,122,0,0,0,0,3,2,3,0,1,2010,0,4,190000,33,33,103.03687635574838,Low Risk
22,527358200,85,4,85.0,10625,1,2,3,3,0,4,0,17,2,2,0,6,7,6,1974,1974,1,0,9,10,1,81.0,3,4,1,2,4,1,2,885.0,3,168.0,0.0,1053.0,1,4,1,4,1173,0,0,1173,1.0,0.0,2,0,3,1,2,6,7,2,4,1,1974.0,1,2.0,528.0,4,4,2,0,120,0,0,0,0,3,2,3,0,1,2010,9,3,170000,36,36,144.92753623188406,Medium Risk
23,527368020,60,2,72.5,7500,1,2,3,3,0,4,0,24,2,2,0,5,7,5,2000,2000,1,0,12,13,3,0.0,2,4,2,2,4,3,2,533.0,5,0.0,281.0,814.0,1,0,1,4,814,860,0,1674,1.0,0.0,2,1,3,1,2,7,7,0,5,1,2000.0,1,2.0,663.0,4,4,2,0,96,0,0,0,0,3,4,3,0,1,2010,9,4,216000,10,10,129.03225806451613,Low Risk
24,527402200,20,4,73.0,11241,1,2,0,3,0,1,0,15,2,2,0,2,6,7,1970,1970,1,0,13,14,1,180.0,3,4,1,4,4,3,0,578.0,5,0.0,426.0,1004.0,1,0,1,4,1004,0,0,1004,1.0,0.0,1,0,2,1,4,5,7,1,4,1,1970.0,0,2.0,480.0,4,4,2,0,0,0,0,0,0,3,4,2,700,3,2010,9,4,149000,40,40,148.40637450199202,Medium Risk
25,527402250,20,4,73.0,12537,1,2,0,3,0,1,0,15,2,2,0,2,5,6,1971,2008,1,0,12,13,3,0.0,3,4,1,4,4,3,2,734.0,5,0.0,344.0,1078.0,1,0,1,4,1078,0,0,1078,1.0,0.0,1,1,3,1,4,6,7,1,1,1,1971.0,0,2.0,500.0,4,4,2,0,0,0,0,0,0,3,4,3,0,4,2010,9,4,149900,39,2,139.05380333951763,Medium Risk
26,527403020,20,4,65.0,8450,1,2,3,3,0,4,0,15,2,2,0,2,5,6,1968,1968,1,0,12,13,3,0.0,3,4,1,4,4,3,1,775.0,5,0.0,281.0,1056.0,1,0,1,4,1056,0,0,1056,1.0,0.0,1,0,3,1,4,6,7,1,1,1,1968.0,2,1.0,304.0,4,4,2,0,85,184,0,0,0,3,4,3,0,7,2010,9,4,142000,42,42,134.46969696969697,Medium Risk
27,527404120,20,4,70.0,8400,1,2,3,3,0,0,0,15,2,2,0,2,4,5,1970,1970,1,0,9,10,3,0.0,3,4,1,4,4,3,0,804.0,4,78.0,0.0,882.0,1,4,1,4,882,0,0,882,1.0,0.0,1,0,2,1,4,4,7,0,5,1,1970.0,0,2.0,525.0,4,4,2,240,0,0,0,0,0,3,2,3,0,4,2010,9,4,126000,40,40,142.85714285714286,Medium Risk
28,527425090,20,4,70.0,10500,1,2,3,3,0,2,0,15,2,2,0,2,4,5,1971,1971,1,0,6,6,3,0.0,3,4,1,4,4,3,0,432.0,5,0.0,432.0,864.0,1,4,1,4,864,0,0,864,0.0,0.0,1,0,3,1,4,5,7,1,3,6,0.0,3,0.0,0.0,5,5,2,0,0,0,0,0,0,3,4,3,0,4,2010,4,4,115000,39,39,133.10185185185185,Medium Risk
29,527427230,120,3,26.0,5858,1,2,0,3,0,2,0,15,2,2,4,2,7,5,1999,1999,1,0,8,8,3,0.0,2,4,2,2,4,3,2,1051.0,1,0.0,354.0,1405.0,1,0,1,4,1337,0,0,1337,1.0,0.0,2,0,2,1,2,5,7,1,1,1,1999.0,0,2.0,511.0,4,4,2,203,68,0,0,0,0,3,4,3,0,6,2010,9,4,184000,11,11,137.621540762902,Low Risk
30,527451180,160,5,21.0,1680,1,2,3,3,0,4,0,2,2,2,3,5,6,5,1971,1971,1,0,6,6,1,504.0,3,4,1,4,4,3,4,156.0,5,0.0,327.0,483.0,1,4,1,4,483,504,0,987,0.0,0.0,1,1,2,1,4,5,7,0,5,5,1971.0,2,1.0,264.0,4,4,2,275,0,0,0,0,0,3,4,3,0,2,2010,0,4,96000,39,39,97.2644376899696,High Risk
31,527451330,160,5,21.0,1680,1,2,3,3,0,4,0,2,2,2,3,5,5,5,1971,1971,1,0,6,6,1,492.0,3,4,1,4,4,3,4,300.0,5,0.0,225.0,525.0,1,4,1,4,525,567,0,1092,0.0,0.0,1,1,3,1,4,6,7,0,5,5,1997.0,2,1.0,320.0,4,4,2,0,0,0,0,0,0,3,4,3,0,3,2010,9,4,105500,39,39,96.6117216117216,High Risk
32,527451410,160,5,21.0,1680,1,2,3,3,0,4,0,2,2,2,3,5,6,5,1971,1971,1,0,6,7,1,381.0,3,4,1,4,4,3,5,0.0,5,0.0,525.0,525.0,1,4,1,4,525,567,0,1092,0.0,0.0,1,1,3,1,4,6,7,0,5,5,1971.0,2,1.0,264.0,4,4,2,0,0,0,0,0,0,3,4,3,0,3,2010,9,3,88000,39,39,80.58608058608058,High Risk
33,527452190,120,4,53.0,4043,1,2,3,3,0,4,0,16,2,2,4,2,6,5,1977,1977,1,0,9,10,3,0.0,3,4,1,2,4,3,0,360.0,5,0.0,709.0,1069.0,1,4,1,4,1069,0,0,1069,0.0,0.0,2,0,2,1,4,4,7,1,1,1,1977.0,1,2.0,440.0,4,4,2,0,55,0,0,165,0,3,4,3,0,7,2010,9,4,127500,33,33,119.27034611786716,Medium Risk
34,527453130,160,4,24.0,2280,1,2,3,3,0,2,0,16,2,2,3,5,6,6,1975,1975,1,0,9,2,3,0.0,3,4,1,4,4,3,0,514.0,5,0.0,341.0,855.0,1,4,1,4,855,601,0,1456,0.0,0.0,2,1,3,1,2,6,7,1,4,1,1975.0,2,2.0,440.0,4,4,2,173,0,0,0,0,0,3,4,3,0,6,2010,9,4,149900,35,35,102.9532967032967,High Risk
35,527453150,120,4,24.0,2280,1,2,3,3,0,2,0,16,2,2,3,2,7,6,1975,1975,1,0,9,2,3,0.0,3,4,1,2,4,3,5,0.0,5,0.0,836.0,836.0,1,0,1,4,836,0,0,836,0.0,0.0,1,0,2,1,4,4,7,0,5,1,1975.0,2,1.0,308.0,4,4,2,0,30,0,0,0,0,3,4,3,0,6,2010,9,4,120000,35,35,143.54066985645932,Medium Risk
36,527454200,160,4,24.0,2280,1,2,3,3,0,4,0,16,2,2,3,5,6,5,1978,1978,1,0,9,2,3,0.0,3,4,1,2,4,3,0,311.0,5,0.0,544.0,855.0,1,1,1,4,855,601,0,1456,0.0,0.0,2,1,3,1,4,7,7,1,4,1,1978.0,2,2.0,440.0,4,4,2,26,0,0,0,0,0,3,4,3,0,7,2010,9,4,146000,32,32,100.27472527472528,High Risk
38,528112020,20,4,98.0,11478,1,2,3,3,0,4,0,19,2,2,0,2,8,5,2007,2008,1,0,12,13,2,200.0,2,4,2,0,4,3,2,1218.0,5,0.0,486.0,1704.0,1,0,1,4,1704,0,0,1704,1.0,0.0,2,0,3,1,2,7,7,1,2,1,2008.0,1,3.0,772.0,4,4,2,0,50,0,0,0,0,3,4,3,0,5,2010,9,4,306000,3,2,179.5774647887324,Low Risk
40,528120090,20,4,94.0,12883,1,2,0,3,0,0,0,19,2,2,0,2,8,5,2009,2010,1,0,12,13,2,256.0,2,4,2,2,4,3,5,0.0,5,0.0,1544.0,1544.0,1,0,1,4,1544,0,0,1544,0.0,0.0,2,0,3,1,2,7,7,0,5,1,2009.0,1,3.0,868.0,4,4,2,0,35,0,0,0,0,3,4,3,0,6,2010,6,5,290941,1,0,188.4332901554404,Low Risk
41,528120100,20,4,95.0,12182,1,2,3,3,0,0,0,19,2,2,0,2,7,5,2005,2005,1,0,12,13,1,226.0,2,4,2,2,4,2,1,1201.0,5,0.0,340.0,1541.0,1,0,1,4,1541,0,0,1541,0.0,0.0,2,0,3,1,2,7,7,1,2,1,2005.0,1,2.0,532.0,4,4,2,0,70,0,0,0,0,3,4,3,0,5,2010,6,5,220000,5,5,142.76443867618428,Low Risk
42,528120120,20,4,90.0,11520,1,2,3,3,0,4,0,19,4,2,0,2,9,5,2005,2005,3,0,12,13,1,615.0,2,4,2,0,4,3,2,110.0,5,0.0,1588.0,1698.0,1,0,1,4,1698,0,0,1698,0.0,0.0,2,0,3,1,0,7,7,1,2,1,2005.0,0,3.0,730.0,4,4,2,192,74,0,0,0,0,3,4,3,0,6,2010,9,4,275000,5,5,161.95524146054183,Low Risk
43,528138020,20,4,79.0,14122,1,2,0,3,0,4,0,19,2,2,0,2,8,5,2005,2006,3,0,5,5,1,240.0,2,4,2,0,4,3,2,28.0,5,0.0,1794.0,1822.0,1,0,1,4,1822,0,0,1822,0.0,0.0,2,0,3,1,0,8,7,1,2,1,2005.0,1,3.0,678.0,4,4,2,0,119,0,0,0,0,3,4,3,0,2,2010,9,4,259000,5,4,142.15148188803514,Low Risk
44,528138060,20,4,70.0,10171,1,2,0,3,0,4,0,19,2,2,0,2,7,5,2004,2004,1,0,12,13,1,168.0,2,4,2,2,4,3,2,2.0,5,0.0,1515.0,1517.0,1,0,1,4,1535,0,0,1535,0.0,0.0,2,0,3,1,2,7,7,0,5,1,2004.0,1,2.0,532.0,4,4,2,0,0,0,0,0,0,3,4,3,0,3,2010,9,4,214000,6,6,139.41368078175896,Low Risk
46,528175010,120,4,44.0,6371,1,2,0,3,0,4,0,19,2,2,4,2,7,5,2009,2010,1,0,12,13,2,128.0,2,4,2,2,4,2,2,733.0,5,0.0,625.0,1358.0,1,0,1,4,1358,0,0,1358,1.0,0.0,2,0,2,1,2,6,7,1,2,1,2010.0,1,2.0,484.0,4,4,2,192,35,0,0,0,0,3,4,3,0,6,2010,6,5,224000,1,0,164.94845360824743,Low Risk
48,528176070,60,4,105.0,13650,1,2,3,3,0,0,0,19,2,2,0,5,8,5,2002,2002,1,0,12,13,1,232.0,2,4,2,2,4,1,2,578.0,5,0.0,1093.0,1671.0,1,0,1,4,1687,563,0,2250,1.0,0.0,2,1,3,1,2,7,7,1,0,1,2002.0,0,3.0,756.0,4,4,2,238,130,0,0,0,0,3,4,3,0,6,2010,9,4,320000,8,8,142.22222222222223,Low Risk
49,528180070,120,4,61.0,7658,1,2,3,3,0,4,0,19,2,2,4,2,9,5,2005,2005,3,0,8,8,1,412.0,0,4,2,0,4,3,2,456.0,5,0.0,1296.0,1752.0,1,0,1,4,1752,0,0,1752,1.0,0.0,2,0,2,1,0,6,7,1,2,1,2005.0,1,2.0,576.0,4,4,2,196,82,0,0,0,0,3,4,3,0,2,2010,9,4,319900,5,5,182.59132420091325,Low Risk
50,528181050,120,4,41.0,7132,1,2,0,3,0,4,0,19,2,2,4,2,8,5,2006,2006,1,0,12,13,2,178.0,2,4,2,2,4,2,2,24.0,5,0.0,1346.0,1370.0,1,0,1,4,1370,0,0,1370,0.0,0.0,2,0,2,1,2,6,7,1,2,1,2006.0,1,2.0,484.0,4,4,2,120,49,0,0,0,0,3,4,3,0,4,2010,9,4,205000,4,4,149.63503649635035,Low Risk
51,528188120,160,4,36.0,2628,1,2,3,3,0,4,0,19,2,2,3,5,7,5,2003,2003,1,0,12,15,2,106.0,2,4,2,2,4,3,5,0.0,5,0.0,764.0,764.0,1,0,1,4,764,862,0,1626,0.0,0.0,2,1,2,1,2,6,7,0,5,3,2003.0,1,2.0,474.0,4,4,2,0,27,0,0,0,0,3,4,3,0,6,2010,9,4,175500,7,7,107.93357933579335,High Risk
53,528228285,120,4,43.0,3203,1,2,3,3,0,4,0,0,2,2,4,2,7,5,2006,2006,1,0,12,13,1,14.0,2,4,2,2,4,0,2,16.0,5,0.0,1129.0,1145.0,1,0,1,4,1145,0,0,1145,0.0,0.0,2,0,2,1,2,6,7,0,5,1,2006.0,0,2.0,437.0,4,4,2,100,116,0,0,0,0,3,4,3,0,1,2010,9,4,160000,4,4,139.73799126637556,Medium Risk
54,528228440,120,4,43.0,3182,1,2,3,3,0,4,0,0,2,2,4,2,8,5,2004,2005,1,0,12,13,1,16.0,2,4,2,2,4,3,2,24.0,5,0.0,1232.0,1256.0,1,0,1,4,1269,0,0,1269,0.0,0.0,2,0,2,1,2,6,7,1,4,1,2004.0,0,2.0,430.0,4,4,2,146,20,0,0,144,0,3,4,3,0,4,2010,9,4,192000,6,5,151.30023640661938,Low Risk
55,528231020,80,4,67.0,13300,1,2,0,3,0,4,0,8,2,2,0,7,7,5,2004,2004,1,0,12,13,3,0.0,2,4,2,2,4,3,2,326.0,5,0.0,58.0,384.0,1,0,1,4,744,630,0,1374,1.0,0.0,2,1,3,1,2,7,7,1,2,3,2004.0,0,2.0,400.0,4,4,2,100,0,0,0,0,0,3,4,3,0,6,2010,9,4,184500,6,6,134.27947598253274,Low Risk
56,528240070,60,4,64.0,7851,1,2,3,3,0,4,0,8,2,2,0,5,6,5,2002,2002,1,0,12,13,3,0.0,2,4,2,2,4,3,2,625.0,5,0.0,235.0,860.0,1,0,1,4,860,1100,0,1960,1.0,0.0,2,1,4,1,2,8,7,2,4,3,2002.0,0,2.0,440.0,4,4,2,288,48,0,0,0,0,3,4,3,0,5,2010,9,4,216500,8,8,110.45918367346938,Low Risk
57,528240130,60,4,63.0,8577,1,2,0,3,0,4,0,8,2,2,0,5,7,5,2004,2004,1,0,12,13,3,0.0,2,4,2,2,4,3,5,0.0,5,0.0,847.0,847.0,1,0,1,4,847,886,0,1733,0.0,0.0,2,1,3,1,2,7,7,1,2,3,2004.0,0,2.0,433.0,4,4,2,144,48,0,0,0,0,3,4,3,0,4,2010,9,4,185088,6,6,106.80207732256204,Low Risk
58,528250100,80,4,64.0,7750,1,2,0,3,0,4,0,8,2,2,0,7,7,5,2000,2000,1,0,12,13,3,0.0,3,4,2,2,4,3,2,250.0,5,0.0,134.0,384.0,1,0,1,4,774,656,0,1430,0.0,0.0,2,1,3,1,4,7,7,1,4,3,2000.0,0,2.0,400.0,4,4,2,180,0,0,0,0,0,3,4,3,0,4,2010,9,4,180000,10,10,125.87412587412588,Low Risk
59,528292020,60,4,64.0,9505,1,2,0,3,0,1,0,8,2,2,0,5,7,5,2001,2001,1,0,12,13,1,180.0,2,4,2,2,4,3,5,0.0,5,0.0,884.0,884.0,1,0,1,4,884,1151,0,2035,0.0,0.0,2,1,3,1,2,8,7,1,2,3,2001.0,0,2.0,434.0,4,4,2,144,48,0,0,0,0,3,4,3,0,5,2010,9,4,222500,9,9,109.33660933660934,Low Risk
62,528358010,20,4,59.0,10593,1,2,0,3,0,4,0,18,2,2,0,2,7,5,1996,1996,3,0,12,13,1,338.0,2,4,2,2,4,3,2,919.0,5,0.0,801.0,1720.0,1,0,1,4,1720,0,0,1720,1.0,0.0,2,0,3,1,2,7,7,1,4,1,1996.0,0,2.0,527.0,4,4,2,240,56,154,0,0,0,3,4,3,0,3,2010,9,4,260400,14,14,151.3953488372093,Low Risk
64,528382020,60,4,92.0,11764,1,2,0,3,0,1,0,18,2,2,0,5,8,7,1999,2007,1,0,12,13,1,348.0,2,4,2,2,4,3,2,524.0,5,0.0,628.0,1152.0,1,0,1,4,1164,1106,0,2270,0.0,0.0,2,1,4,1,2,9,7,1,2,1,1999.0,0,3.0,671.0,4,4,2,132,57,0,0,0,0,3,4,3,0,4,2010,9,4,290000,11,3,127.7533039647577,Low Risk
65,528382030,60,4,58.0,16770,1,2,1,3,0,1,0,18,2,2,0,5,7,5,1998,1998,1,0,12,13,1,30.0,2,4,2,2,4,3,5,0.0,5,0.0,1195.0,1195.0,1,2,1,4,1195,644,0,1839,0.0,0.0,2,1,4,1,4,7,7,0,5,1,1998.0,0,2.0,486.0,4,4,2,0,81,0,0,0,0,3,4,3,0,6,2010,9,4,221000,12,12,120.17400761283308,Low Risk
67,528445060,20,4,73.0,8987,1,2,3,3,0,4,0,24,2,2,0,2,8,5,2005,2006,1,0,12,13,1,226.0,2,4,2,2,4,4,5,0.0,5,0.0,1595.0,1595.0,1,0,1,4,1595,0,0,1595,0.0,0.0,2,0,2,1,2,6,7,1,2,1,2005.0,1,3.0,880.0,4,4,2,144,0,0,0,0,0,3,4,3,0,5,2010,9,4,221500,5,4,138.87147335423197,Low Risk
68,528456160,20,2,92.0,9215,1,2,3,3,0,4,0,24,2,2,0,2,7,5,2009,2010,3,0,12,13,3,0.0,2,4,2,2,4,3,5,0.0,5,0.0,1218.0,1218.0,1,0,1,4,1218,0,0,1218,0.0,0.0,2,0,2,1,2,4,7,0,5,1,2009.0,1,2.0,676.0,4,4,2,0,136,0,0,0,0,3,4,3,0,4,2010,6,5,204500,1,0,167.89819376026273,Low Risk
69,528458070,60,2,72.0,8640,1,2,3,3,0,4,0,24,2,2,0,5,7,5,2009,2009,1,0,12,13,3,0.0,3,4,2,2,4,2,2,24.0,5,0.0,732.0,756.0,1,0,1,4,764,783,0,1547,0.0,0.0,2,1,3,1,2,7,7,0,5,1,2009.0,2,2.0,614.0,4,4,2,169,45,0,0,0,0,3,4,3,0,6,2010,2,4,215200,1,1,139.10795087265674,Low Risk
70,528458110,20,2,75.0,9000,1,2,3,3,0,4,0,24,2,2,0,2,8,5,2008,2008,1,0,12,13,2,36.0,2,4,2,2,4,0,2,1078.0,5,0.0,488.0,1566.0,1,0,1,4,1566,0,0,1566,1.0,0.0,2,0,3,1,2,7,7,0,5,1,2008.0,1,2.0,750.0,4,4,2,144,168,0,0,0,0,3,4,3,0,4,2010,9,4,262500,2,2,167.62452107279694,Low Risk
71,528477080,60,2,100.0,12552,1,2,3,3,0,0,0,24,2,2,0,5,7,5,2004,2005,1,0,12,13,3,0.0,2,4,2,2,4,3,2,222.0,5,0.0,769.0,991.0,1,0,1,4,991,956,0,1947,0.0,0.0,2,1,3,1,2,8,7,1,2,1,2004.0,1,2.0,678.0,4,4,2,0,136,0,0,0,0,3,1,3,0,5,2010,9,4,254900,6,5,130.91936312275294,Low Risk
72,528480090,20,2,84.0,10440,1,2,3,3,0,0,0,24,2,2,0,2,6,5,2005,2005,1,0,12,13,3,0.0,2,4,2,0,4,3,2,1414.0,5,0.0,54.0,1468.0,1,0,1,4,1468,0,0,1468,1.0,0.0,2,0,2,1,2,6,7,1,2,1,2005.0,0,2.0,528.0,4,4,2,0,102,0,0,216,0,3,4,3,0,5,2010,9,4,271500,5,5,184.94550408719343,Low Risk
